authors,year,title,doi,pedro_score,manuscript_language,study_country,continent,subregion,economy,english_offical_lang,nonofficiallang_excluded,eng_study,samplesize_report,samplesize_total,sex_report,gender_report,g_gendersex_report,sexgender_femalewoman,sexgender_maleman,age_report_plus,age_mean,height_report,height_mean,weight_report,weight_mean,bmi_report,bmi_mean,comorbidities_report,comorbidities_howmany,comorbidities_mean,p_geog_report,p_geog_categories,p_geog_desc,p_geog_prop,r_ethnicityrace_report,r_ethnicityrace_lumped,r_ethnicityrace_class,r_ethnicityrace_categories,r_ethnicityrace_desc,r_ethnicityrace_prop,r_prilangspoken_report,r_cob_report,r_cob_categories,r_cob_desc,r_cob_prop,o_employment_report,o_employment_categories,o_employment_desc,o_employment_prop,r_religion_report,e_edu_report,e_edu_categories,e_edu_desc,e_edu_prop,e_edu_mean,se_income_report,se_income_categories,se_income_desc,se_income_prop,sc_report,sc_marital_categories,sc_marital_desc,sc_marital_prop,sc_livingarrangement_categories,sc_livingarrangement_desc,sc_livingarrangement_prop,plus_characteristics,plus_which,painvas_report,painvas100_mean,womac_report,womac_painmean,womac_stiffmean,womac_funcmean,womac_totalonly,koos_report,koos_painmean,koos_sympmean,koos_adlmean,koos_sportmean,koos_qolmean,sexgender_report
J. H. Abbott; C. M. Chapple; G. K. Fitzgerald; J. M. Fritz; J. D. Childs; H. Harcombe; K. Stout,2015,The Incremental Effects of Manual Therapy or Booster Sessions in Addition to Exercise Therapy for Knee Osteoarthritis: A Randomized Clinical Trial,10.2519/jospt.2015.6015,8,english,new zealand,oceania,australia and new zealand,high income,yes,unknown,unknown,yes,75,no,no,unknown,46,29,yes,63.5,no,NA,no,NA,yes,29.2,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,26.98,yes,,,,34.36,no,NA,,,NA,NA,yes
B. Aǧlamiş; N. F. Toraman; H. Yaman,2008,The effect of a 12-week supervised multicomponent exercise program on knee OA in Turkish women,10.3233/BMR-2008-21208,4,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,31,no,no,unknown,31,0,yes,55.7,no,NA,no,NA,yes,33.25,yes,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,54.9,no,,,,,no,NA,,,NA,NA,yes
A. F. Ahmed,2011,Effect of sensorimotor training on balance in elderly patients with knee osteoarthritis,10.1016/j.jare.2011.02.001,4,english,egypt,africa,north africa,lower-middle income,no,unknown,unknown,yes,40,no,no,unknown,40,0,yes,61,yes,164,yes,79.5,no,NA,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,74.25,no,,,,,no,NA,,,NA,NA,yes
Y. Akyol; D. Durmus; G. Alayli; B. Tander; Y. Bek; F. Canturk; S. Tastan Sakarya,2010,"Does short-wave diathermy increase the effectiveness of isokinetic exercise on pain, function, knee muscle strength, quality of life, and depression in the patients with knee osteoarthritis? A randomized controlled clinical study",R33Y2010N03A0325.pdf (minervamedica.it),7,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,40,no,no,unknown,40,0,yes,57.2,yes,159.75,yes,78.4,yes,30.71,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,3,housewife or retired or other,83v12v5,no,yes,4,literate or priedu or secedu or college,45v35v12v8,NA,no,,,,no,NA,,,NA,,,no,,yes,73.75,yes,11.575,3.475,40.325,,no,NA,,,NA,NA,yes
K. D. Allen; L. Arbeeva; L. F. Callahan; Y. M. Golightly; A. P. Goode; B. C. Heiderscheit; K. M. Huffman; H. H. Severson; T. A. Schwartz,2018,Physical therapy vs internet-based exercise training for patients with knee osteoarthritis: results of a randomized controlled trial,10.1016/j.joca.2017.12.008,8,english,united states of america,americas,north america,high income,yes,yes,unknown,yes,350,no,yes,yes,251,99,yes,65.3,no,NA,no,NA,yes,31.4,no,NA,NA,no,NA,,,yes,no,race,2,white or nonwhite,73v27,no,no,NA,,,yes,2,employed or notemployed,40v60,no,yes,2,bachelors or notbachelors,59v41,NA,yes,2,lowinc or notlowinc,18v82,yes,2,marriedlivingwithpartner or notmarriedlivingwithpartner,61v39,NA,,,no,,no,NA,yes,6.1,nr,22.5,,no,NA,,,NA,NA,yes
K. D. Allen; E. Z. Oddone; C. J. Coffman; S. K. Datta; K. A. Juntilla; J. H. Lindquist; T. A. Walker; M. Weinberger; H. B. Bosworth,2010,Telephone-based self-management of osteoarthritis: A randomized trial,10.7326/0003-4819-153-9-201011020-00006,7,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,515,yes,no,no,36,479,yes,60.1,no,NA,no,NA,yes,31.8,no,NA,NA,no,NA,,,yes,yes,both,3,white or nonwhite or hispanic,54v46v2,no,no,NA,,,yes,2,employed or notemployed,39v61,no,yes,2,highschoolless or nothighschoolless,33v67,NA,yes,2,inadequate or adequate,26v74,yes,2,married or notmarried,69v31,NA,,,no,,yes,58,no,,,,,no,NA,,,NA,NA,yes
K. D. Allen; S. Woolson; H. M. Hoenig; D. Bongiorni; J. Byrd; K. Caves; K. S. Hall; B. Heiderscheit; N. J. Hodges; K. M. Huffman; M. C. Morey; S. Ramasunder; H. Severson; C. Van Houtven; L. M. Abbate; C. J. Coffman,2021,Stepped exercise program for patients with knee osteoarthritis a randomized controlled trial,10.7326/M20-4447,6,english,united states of america,americas,north america,high income,yes,unknown,unknown,yes,345,no,yes,no,53,292,yes,60,no,NA,no,NA,yes,33.9,yes,NA,3.9,no,NA,,,yes,no,race and ethnicity,2v2,white or nonwhite or hispanic or nothispanic,33v67v2v98,no,no,NA,,,yes,2,workingfullorparttime or notworkingfullorparttime,36v64,no,yes,2,abovehighschool or notabovehighschool,80v20,NA,yes,2,lowperceived or notlowperceived,23v77,yes,2,marriedlivingwithpartner or notmarriedlivingwithpartner,63v37,NA,,,no,,no,NA,yes,9.9,nr,33.3,,no,NA,,,NA,NA,yes
E. U. Altas; U. Demirdal,2020,"The effect of physical therapy and rehabilitation modalities on sleep quality in patients with primary knee osteoarthritis: A single-blind, prospective, randomized-controlled study",10.5606/tftrd.2020.3089,5,english,turkiye,asia,west asia,upper-middle income,no,unknown,unknown,yes,40,no,yes,no,31,9,yes,56.6,no,NA,no,NA,yes,31.65,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,yes,3,housewife or retired or worker,58v15v27,no,no,,,,NA,no,,,,yes,2,married or notmarried,80v20,NA,,,no,,yes,73,yes,,,,72.1,no,NA,,,NA,NA,yes
B. An; K. Dai; Z. Zhu; Y. Wang; Y. Hao; T. Tang; H. Yan,2008,Baduanjin alleviates the symptoms of knee osteoarthritis,10.1089/acm.2007.0600,4,english,china,asia,east asia,upper-middle income,no,unknown,unknown,yes,28,no,no,unknown,28,0,yes,65,no,NA,no,NA,yes,25.55,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,no,NA,yes,5.42,2.006,13.784,,no,NA,,,NA,NA,yes
S. Anwer; A. Alghadir,2014,"Effect of isometric quadriceps exercise on muscle strength, pain, and function in patients with knee osteoarthritis: a randomized controlled study",10.1589/jpts.26.745,6,english,saudi arabia,asia,west asia,high income,no,unknown,unknown,yes,42,no,no,unknown,29,13,yes,55.45,yes,156,yes,65.3,yes,26.8,no,NA,NA,no,NA,,,no,,,,,,no,no,NA,,,no,NA,,,no,no,,,,NA,no,,,,no,NA,,,NA,,,no,,yes,60,unclear,nr,nr,,,no,NA,,,NA,NA,yes
